tmax,wspd,sol,presMax,dir,aptoplay
30.20,4.70,12.50,1013.10,21.00,1
27.70,5.00,6.80,1014.20,20.00,1
28.40,3.90,11.00,1012.60,19.00,1
31.80,3.90,11.90,1011.10,25.00,1
33.00,2.80,11.60,1012.60,26.00,1
30.80,3.60,10.70,1013.00,24.00,1
33.00,3.90,11.70,1012.20,19.00,1
28.80,4.40,7.20,1011.90,22.00,1
30.40,3.60,5.10,1011.60,27.00,1
32.60,3.10,8.70,1010.00,26.00,1
30.20,4.70,8.20,1011.00,23.00,1
29.30,4.20,7.10,1012.00,27.00,1
27.80,3.90,12.00,1011.90,25.00,1
26.50,4.20,12.70,1011.70,29.00,1
27.70,3.30,10.30,1013.00,26.00,1
27.60,5.30,11.50,1010.00,19.00,1
27.50,3.60,11.20,1006.80,22.00,1
28.00,3.60,4.20,1010.80,26.00,1
27.20,5.00,11.50,1017.90,36.00,1
26.00,3.10,10.70,1017.80,26.00,1
26.10,4.20,10.80,1017.00,36.00,1
24.80,3.90,11.00,1014.90,20.00,-1
26.60,2.80,9.00,1014.00,19.00,1
29.70,2.80,11.20,1013.20,12.00,1
31.20,9.20,10.10,1014.80,10.00,-1
33.40,3.60,10.60,1013.80,11.00,1
31.30,2.80,9.30,1011.50,11.00,1
26.30,5.60,6.40,1008.70,18.00,1
26.70,5.60,10.00,1008.90,19.00,1
26.10,3.90,3.50,1010.10,18.00,1
